timestamp,symbol,price,rsi,sma_7,sma_21,sma_50,sma_200,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,obv,vwap,recomendacion
2025-07-18T00:27:37.859860,SANDUSDT,0.329,58.33,0.3213,0.3192,0.3169,0.3,0.0022,0.0013,0.0009,0.3273,0.3195,0.3117,31132759.0,0.3053,Comprar
2025-07-18T00:27:39.943784,MANAUSDT,0.33,61.2,0.3238,0.3211,0.319,0.3099,0.0023,0.0013,0.001,0.329,0.3214,0.3138,14420505.0,0.3105,Comprar
2025-07-18T00:27:40.010409,SHIBUSDT,1.445e-05,50.34,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2483316672529.0,0.0,Vender
2025-07-18T00:27:41.688265,SUSDT,0.377,34.69,0.3762,0.3815,0.3747,0.3539,0.0002,0.0015,-0.0012,0.3947,0.382,0.3693,30277008.9,0.3562,Vender
2025-07-18T00:27:44.460254,ETHUSDT,3476.25,53.91,3449.6971,3431.4224,3319.8652,3039.7927,39.2458,41.8748,-2.6289,3490.6802,3435.4435,3380.2068,1108697.5901,3073.015,Vender
2025-07-18T00:27:49.284413,DOTUSDT,4.281,55.56,4.2086,4.2045,4.1603,3.9711,0.0226,0.0172,0.0054,4.2921,4.2075,4.123,4905004.75,3.9873,Comprar
2025-07-18T00:27:49.771389,ADAUSDT,0.8431,59.18,0.8174,0.8015,0.7734,0.7245,0.0156,0.0135,0.0021,0.8404,0.8039,0.7675,177296705.5,0.7366,Comprar
2025-07-18T00:27:51.026674,BTCUSDT,119487.85,59.3,119525.8329,118836.9005,118677.4294,117386.5062,283.4247,198.2441,85.1806,120087.3794,118854.4755,117621.5716,23137.0742,117449.8441,Comprar
2025-07-18T00:27:55.622023,SANDUSDT,0.3293,58.61,0.3214,0.3192,0.3169,0.3,0.0023,0.0013,0.0009,0.3274,0.3195,0.3116,31143765.0,0.3053,Comprar
2025-07-18T00:27:55.741885,MANAUSDT,0.3302,61.41,0.3239,0.3211,0.319,0.3099,0.0023,0.0013,0.001,0.3291,0.3214,0.3138,14420868.0,0.3105,Comprar
2025-07-18T00:27:55.769566,THETAUSDT,0.867,54.29,0.8543,0.8532,0.8458,0.8037,0.0044,0.0034,0.001,0.8714,0.8541,0.8368,3944787.8,0.81,Comprar
2025-07-18T00:27:57.412339,ETHUSDT,3477.47,54.17,3449.8714,3431.4805,3319.8896,3039.7988,39.3432,41.8942,-2.5511,3490.9237,3435.5045,3380.0853,1134616.4848,3073.019,Vender
2025-07-18T00:27:57.913928,SUSDT,0.3774,34.98,0.3762,0.3815,0.3747,0.3539,0.0002,0.0015,-0.0012,0.3947,0.382,0.3694,30269673.2,0.3562,Vender
2025-07-18T00:28:05.286926,SHIBUSDT,1.448e-05,51.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2648688316633.0,0.0,Comprar
2025-07-18T00:28:06.953436,MANAUSDT,0.3305,61.73,0.3239,0.3211,0.319,0.3099,0.0023,0.0013,0.001,0.3291,0.3214,0.3137,14426577.0,0.3105,Comprar
2025-07-18T00:28:06.958814,BTCUSDT,119539.99,59.64,119533.2814,118839.3833,118678.4722,117386.7668,287.584,199.076,88.5081,120095.5405,118857.0825,117618.6245,23139.022,117449.9264,Comprar
2025-07-18T00:28:07.510135,THETAUSDT,0.868,54.72,0.8544,0.8532,0.8458,0.8037,0.0045,0.0034,0.0011,0.8716,0.8541,0.8367,3947945.4,0.81,Comprar
2025-07-18T00:28:17.932940,SUSDT,0.3782,35.56,0.3763,0.3816,0.3747,0.3539,0.0003,0.0015,-0.0012,0.3947,0.3821,0.3694,30243968.2,0.3562,Vender
